seq_idx,current_start1,current_end1,current_start2,current_end2,length
7,381784,382689,1650742,1651647,906
7,1650842,1651747,3186720,3187625,906
7,1650742,1651647,4498705,4499610,906
7,381184,382889,3186020,3187725,1706
7,381084,382789,4498005,4499710,1706
7,3185920,3187625,4498005,4499710,1706
31,279062,280031,290533,291502,970
14,19795,20862,257907,258974,1068
14,19695,20762,1978402,1979469,1068
14,257807,258874,1978402,1979469,1068
21,1299395,1300896,3130042,3131543,1502
21,1299295,1300896,1395840,1397441,1602
21,1395740,1397341,3129842,3131443,1602
13,15186,16930,607806,609550,1745
13,15286,17030,2514172,2515916,1745
13,607806,609550,2514072,2515816,1745
19,314828,316482,566379,568033,1655
19,315128,316782,2170073,2171727,1655
19,566379,568033,2169773,2171427,1655
22,1467809,1469539,2068840,2070570,1731
22,1467609,1469339,2996060,2997790,1731
22,2068840,2070570,2996260,2997990,1731
32,391707,393366,1094243,1095902,1660
42,1650749,1651648,4498712,4499611,900
1,273854,275419,574490,576055,1566
1,273854,275419,687750,689315,1566
1,273954,275519,2101748,2103313,1566
1,273754,275319,2288718,2290283,1566
1,273654,275219,3365255,3366820,1566
1,273654,275219,3651735,3653300,1566
1,574490,576055,687750,689315,1566
1,574390,575955,2101548,2103113,1566
1,574490,576055,2288818,2290383,1566
1,574490,576055,3365455,3367020,1566
1,574290,575855,3651735,3653300,1566
1,687750,689315,2101648,2103213,1566
1,687850,689415,2288918,2290483,1566
1,687850,689415,3365555,3367120,1566
1,687750,689315,3651935,3653500,1566
1,2101648,2103213,2288818,2290383,1566
1,2101748,2103313,3365555,3367120,1566
1,2101748,2103313,3652035,3653600,1566
1,2288618,2290183,3365255,3366820,1566
1,2288918,2290483,3652035,3653600,1566
1,3365255,3366820,3651735,3653300,1566
27,19664,20663,257776,258775,1000
20,381259,382982,3186095,3187818,1724
20,381059,382782,4497980,4499703,1724
20,3185995,3187718,4498080,4499803,1724
30,270440,271993,1469195,1470748,1554
0,273821,275394,574457,576030,1574
0,273621,275194,687517,689090,1574
0,273721,275294,2065925,2067498,1574
0,273721,275294,2101515,2103088,1574
0,273821,275394,2288785,2290358,1574
0,273621,275194,3365222,3366795,1574
0,273621,275194,3651702,3653275,1574
0,574557,576130,687817,689390,1574
0,574457,576030,2066025,2067598,1574
0,574357,575930,2101515,2103088,1574
0,574457,576030,2288785,2290358,1574
0,574557,576130,3365522,3367095,1574
0,574557,576130,3652002,3653575,1574
0,687817,689390,2066125,2067698,1574
0,687817,689390,2101715,2103288,1574
0,687717,689290,2288785,2290358,1574
0,687517,689090,3365222,3366795,1574
0,687717,689290,3651902,3653475,1574
0,2065825,2067398,2101415,2102988,1574
0,2065925,2067498,2288685,2290258,1574
0,2065825,2067398,3365222,3366795,1574
0,2065825,2067398,3651702,3653275,1574
0,2101715,2103288,2288885,2290458,1574
0,2101715,2103288,3365522,3367095,1574
0,2101515,2103088,3651802,3653375,1574
0,2288885,2290458,3365522,3367095,1574
0,2288885,2290458,3652002,3653575,1574
0,3365322,3366895,3651802,3653375,1574
2,273796,275348,574432,575984,1553
2,273596,275148,687492,689044,1553
2,273596,275148,2101390,2102942,1553
2,273596,275148,2288560,2290112,1553
2,273596,275148,3365197,3366749,1553
2,273596,275148,3651677,3653229,1553
2,574432,575984,687692,689244,1553
2,574432,575984,2101590,2103142,1553
2,574532,576084,2288860,2290412,1553
2,574532,576084,3365497,3367049,1553
2,574332,575884,3651777,3653329,1553
2,687692,689244,2101590,2103142,1553
2,687492,689044,2288560,2290112,1553
2,687592,689144,3365297,3366849,1553
2,687692,689244,3651877,3653429,1553
2,2101690,2103242,2288860,2290412,1553
2,2101690,2103242,3365497,3367049,1553
2,2101590,2103142,3651877,3653429,1553
2,2288760,2290312,3365397,3366949,1553
2,2288560,2290112,3651677,3653229,1553
2,3365197,3366749,3651677,3653229,1553
33,525372,527219,1527826,1529673,1848
39,1299398,1300898,3130045,3131545,1501
4,574586,576187,687846,689447,1602
4,574586,576187,2101744,2103345,1602
4,574486,576087,3365451,3367052,1602
4,574586,576187,3652031,3653632,1602
4,687746,689347,2101644,2103245,1602
4,687846,689447,3365551,3367152,1602
4,687746,689347,3651931,3653532,1602
4,2101744,2103345,3365551,3367152,1602
4,2101644,2103245,3651931,3653532,1602
4,3365351,3366952,3651831,3653432,1602
8,574586,576188,687846,689448,1603
8,574586,576188,3365551,3367153,1603
8,574586,576188,3652031,3653633,1603
8,687846,689448,3365551,3367153,1603
8,687746,689348,3651931,3653533,1603
8,3365151,3366753,3651631,3653233,1603
9,574589,576188,687849,689448,1600
9,574489,576088,3365454,3367053,1600
9,574289,575888,3651734,3653333,1600
9,687849,689448,3365554,3367153,1600
9,687749,689348,3651934,3653533,1600
9,3365154,3366753,3651634,3653233,1600
34,566474,568077,2169868,2171471,1604
35,574585,576184,3652030,3653629,1600
36,574490,576089,3365455,3367054,1600
37,687750,689350,3651935,3653535,1601
38,1299293,1300893,1395838,1397438,1601
43,2101645,2103246,2288815,2290416,1602
10,4035132,4037385,4207748,4210001,2254
10,4165960,4168313,4207448,4209801,2354
10,3941009,3943462,4165860,4168313,2454
10,3940509,3947062,4034232,4040785,6554
10,3940209,3946862,4206548,4213201,6654
10,4034932,4041785,4166060,4172913,6854
40,1467908,1469607,2068939,2070638,1700
41,1467641,1469342,2996092,2997793,1702
26,15232,17031,2514118,2515917,1800
3,223396,225670,3941433,3943707,2275
3,223396,225670,4166284,4168558,2275
3,4035156,4037430,4207772,4210046,2275
3,4166084,4168358,4207572,4209846,2275
3,223096,225470,4207472,4209846,2375
3,3941033,3943507,4165884,4168358,2475
3,3941433,3948007,4035156,4041730,6575
3,222296,228970,4034056,4040730,6675
3,3940333,3947007,4206672,4213346,6675
3,4034756,4041630,4165884,4172758,6875
15,4166048,4168360,4207536,4209848,2313
15,223260,225672,4207636,4210048,2413
15,222660,228972,4165548,4171860,6313
5,223374,225694,4166262,4168582,2321
5,4035134,4037454,4207750,4210070,2321
5,4165962,4168282,4207450,4209770,2321
5,223274,229694,4207650,4214070,6421
5,222274,228994,4034034,4040754,6721
5,4034734,4041554,4165862,4172682,6821
23,4035187,4037491,4207803,4210107,2305
23,3941164,3943968,4034887,4037691,2805
23,3940164,3946868,4206503,4213207,6705
47,3618972,3623682,3761963,3766673,4711
6,225530,229650,4209814,4213934,4121
6,223230,229550,4166112,4172432,6321
6,4034591,4040911,4207114,4213434,6321
6,4166512,4172932,4207914,4214334,6421
6,222230,228950,4033991,4040711,6721
6,4034691,4041611,4165812,4172732,6921
17,225493,229628,4209777,4213912,4136
17,222693,229028,4165575,4171910,6336
17,4165775,4172310,4207177,4213712,6536
18,225252,229373,4209536,4213657,4122
18,4035313,4041634,4207836,4214157,6322
18,222252,228973,4034013,4040734,6722
