seq_idx,current_start1,current_end1,current_start2,current_end2,length
5,3788569,3789317,5344596,5345344,749
5,3788569,3789317,5347464,5348212,749
5,3788569,3789317,5360751,5361499,749
5,5092701,5093449,5344596,5345344,749
5,5092701,5093449,5347464,5348212,749
5,5092701,5093449,5360751,5361499,749
5,5344196,5346344,5360351,5362499,2149
5,5347064,5349212,5360351,5362499,2149
5,3786969,3789717,5091101,5093849,2749
5,5343496,5347144,5346364,5350012,3649
10,1343818,1344601,1350335,1351118,784
10,1349851,1350634,1350435,1351218,784
10,1343618,1344601,1349551,1350534,984
10,1348071,1349054,1349651,1350634,984
10,1348171,1350054,1350335,1352218,1884
10,1339318,1344701,1343671,1349054,5384
18,4467015,4467745,4609507,4610237,731
18,4466915,4467645,4650896,4651626,731
18,4466915,4467645,5100470,5101200,731
18,4609507,4610237,4650996,4651726,731
18,4609507,4610237,5100570,5101300,731
18,4646396,4657526,5095970,5107100,11131
20,5092651,5093351,5344546,5345246,701
20,5092651,5093351,5347414,5348114,701
20,5092651,5093351,5360701,5361401,701
20,5344146,5346246,5360301,5362401,2101
20,5347014,5349114,5360301,5362401,2101
20,5343446,5347046,5346314,5349914,3601
27,913895,914604,914913,915622,710
27,913995,915304,914503,915812,1310
27,913903,915212,914413,915722,1310
40,2772190,2773042,5325275,5326127,853
40,5323241,5324093,5325275,5326127,853
40,2770090,2774742,5321141,5325793,4653
54,4341213,4342010,5376959,5377756,798
54,5093864,5094661,5376959,5377756,798
54,4340813,4343010,5093464,5095661,2198
56,4466997,4467713,4650978,4651694,717
56,4466997,4467713,5100552,5101268,717
56,4647978,4659194,5097552,5108768,11217
61,5126049,5126824,5306515,5307290,776
61,5306515,5307290,5341508,5342283,776
61,5125949,5128924,5341408,5344383,2976
87,547388,548128,547929,548669,741
88,754683,755411,755213,755941,729
148,3344214,3345098,4209815,4210699,885
159,3785732,3786487,3789018,3789773,756
180,4455023,4455906,4458050,4458933,884
183,4466947,4467651,4609439,4610143,705
200,4975515,4976249,5106482,5107216,735
210,5179900,5180684,5331076,5331860,785
19,5351382,5352578,5381794,5382990,1197
19,5350982,5352278,5351952,5353248,1297
19,4502754,4504550,5350882,5352678,1797
19,4503254,4505050,5381794,5383590,1797
19,5352052,5353848,5381494,5383290,1797
19,4502854,4504750,5351952,5353848,1897
31,1211133,1212579,5084574,5086020,1447
31,3406694,3408140,5084574,5086020,1447
31,1209633,1214479,3405194,3410040,4847
32,1279375,1280707,1280408,1281740,1333
32,1280208,1281740,5231312,5232844,1533
32,1277875,1280507,5230012,5232644,2633
33,1343868,1344816,1349801,1350749,949
33,1348121,1349069,1349701,1350649,949
33,1339368,1344716,1343721,1349069,5349
34,1349836,1350635,1350420,1351219,800
34,1348056,1349055,1349636,1350635,1000
34,1348056,1349955,1350220,1352119,1900
37,2301850,2302949,2302649,2303748,1100
37,2301950,2303149,5217990,5219189,1200
37,2302249,2307948,5217490,5223189,5700
45,2964647,2965689,5346341,5347383,1043
45,5342873,5346515,5345741,5349383,3643
45,2962747,2966489,5341573,5345315,3743
63,5336728,5337912,5440015,5441199,1185
63,5340015,5341199,5440015,5441199,1185
63,5333928,5338212,5337215,5341499,4285
82,428717,429744,5248597,5249624,1028
93,1016722,1018147,5436259,5437684,1426
131,2770304,2771361,5321240,5322297,1058
174,4341194,4342011,5376940,5377757,818
203,5111147,5112258,5353774,5354885,1112
212,5202091,5203449,5205264,5206622,1359
215,5327650,5328747,5437773,5438870,1098
0,1204294,1205261,1206895,1207862,968
0,1203345,1204612,1204294,1205561,1268
0,1204294,1205761,5284186,5285653,1468
0,1204194,1205761,1207969,1209536,1568
0,1204294,1205861,3403710,3405277,1568
0,1206495,1208062,1207669,1209236,1568
0,1202845,1204612,1207569,1209336,1768
0,1201945,1204512,1205495,1208062,2568
0,1205395,1207962,3402210,3404777,2568
0,1205195,1207862,5282486,5285153,2668
0,1207269,1209936,5283386,5286053,2668
0,1201945,1204712,3402310,3405077,2768
0,1201745,1204612,5282586,5285453,2868
0,3401810,3405577,5282286,5286053,3768
0,1207169,1214336,3402810,3409977,7168
4,3134621,3136197,4335934,4337510,1577
4,3134421,3135997,5410773,5412349,1577
4,4335734,4337310,5384656,5386232,1577
4,4335734,4337310,5410773,5412349,1577
4,5384656,5386232,5410773,5412349,1577
4,3134621,3136297,5384856,5386532,1677
4,3134221,3135897,5412032,5413708,1677
4,4335634,4337310,5412132,5413808,1677
4,5384556,5386232,5412132,5413808,1677
4,5410673,5412549,5412132,5414008,1877
11,5127509,5128488,5427643,5428622,980
11,2964242,2965621,5427743,5429122,1380
11,5343068,5344447,5427743,5429122,1380
11,2962342,2965121,5125709,5128488,2780
11,5125909,5128888,5341368,5344347,2980
11,2962742,2966521,5341568,5345347,3780
47,3041168,3043000,3042601,3044433,1833
47,3040368,3042600,5244563,5246795,2233
47,3042601,3046333,5245363,5249095,3733
49,3349283,3350281,5090142,5091140,999
49,3349183,3350181,5326860,5327858,999
49,5090242,5091240,5327060,5328058,999
60,4648786,4649938,5376116,5377268,1153
60,5098360,5099512,5376116,5377268,1153
60,4646186,4657338,5095760,5106912,11153
92,952484,954208,5433522,5435246,1725
115,1650249,1652058,5428704,5430513,1810
149,3349299,3350281,5090158,5091140,983
150,3349283,3350257,5090142,5091116,975
155,3632793,3634591,3634192,3635990,1799
178,4409985,4411720,4411321,4413056,1736
188,4608649,4609708,5096863,5097922,1060
197,4851038,4852721,4852322,4854005,1684
205,5122888,5124496,5380385,5381993,1609
1,4341327,4342339,5096849,5097861,1013
1,4608635,4609647,5096849,5097861,1013
1,4648599,4649611,5096949,5097961,1013
1,5093978,5094990,5096849,5097861,1013
1,5096949,5097961,5098173,5099185,1013
1,4341027,4342339,4608335,4609647,1313
1,4608335,4609647,5093678,5094990,1313
1,4608135,4609547,4647999,4649411,1413
1,4608135,4609547,5097573,5098985,1413
1,4340727,4342639,4647899,4649811,1913
1,4340727,4342639,5097473,5099385,1913
1,4648199,4650111,5093678,5095590,1913
1,5093678,5095590,5097773,5099685,1913
1,4340827,4343039,5093478,5095690,2213
1,4647299,4658511,5096873,5108085,11213
8,506453,508478,5262141,5264166,2026
8,503788,505913,5261741,5263866,2126
8,501823,504748,506453,509378,2926
8,504188,507113,506453,509378,2926
8,501423,504548,503788,506913,3126
8,500123,504048,5260441,5264366,3926
15,4341420,4342425,5096942,5097947,1006
15,4608628,4609633,5096842,5097847,1006
15,5094071,5095076,5096942,5097947,1006
15,4341020,4342425,4608328,4609733,1406
15,4608328,4609733,5093671,5095076,1406
15,4340820,4343025,5093471,5095676,2206
36,2124383,2126570,2127765,2129952,2188
36,2124083,2128370,2125777,2130064,4288
36,2124177,2128464,2125865,2130152,4288
52,3930803,3933197,3932698,3935092,2395
52,3928556,3931050,3932498,3934992,2495
52,3928256,3932950,3930303,3934997,4695
66,166899,168851,168350,170302,1953
71,234908,236957,5077081,5079130,2050
90,853211,855433,5269587,5271809,2223
112,1348057,1349901,1350221,1352065,1845
122,2253744,2255461,2259397,2261114,1718
128,2418694,2420797,5214496,5216599,2104
187,4608625,4609726,5096839,5097940,1102
191,4646177,4648447,4656706,4658976,2271
211,5194626,5196876,5200140,5202390,2251
221,5407225,5409460,5408961,5411196,2236
6,4464042,4465211,5376170,5377339,1170
6,4648840,4650009,5376170,5377339,1170
6,5098414,5099583,5376170,5377339,1170
6,4648640,4650009,5095769,5097138,1370
6,5095769,5097138,5098214,5099583,1370
6,5095669,5097538,5375870,5377739,1870
6,4462842,4465111,5094769,5097038,2270
6,4463842,4466711,4648640,4651509,2870
6,4463842,4466711,5098214,5101083,2870
6,4646340,4657509,5095914,5107083,11170
