seq_idx,current_start1,current_end1,current_start2,current_end2,length
6,381784,382689,1650742,1651647,906
6,1650842,1651747,3186720,3187625,906
6,1650742,1651647,4498705,4499610,906
6,381184,382889,3186020,3187725,1706
6,381084,382789,4498005,4499710,1706
6,3185920,3187625,4498005,4499710,1706
30,279062,280031,290533,291502,970
1,273754,275248,574390,575884,1495
1,273654,275148,3651735,3653229,1495
1,687750,689244,2288818,2290312,1495
1,273554,275148,687450,689044,1595
1,273554,275148,2101348,2102942,1595
1,273554,275148,2288518,2290112,1595
1,273554,275148,3365155,3366749,1595
1,574490,576084,687750,689344,1595
1,574390,575984,2101548,2103142,1595
1,574490,576084,2288818,2290412,1595
1,574490,576084,3365455,3367049,1595
1,574290,575884,3651735,3653329,1595
1,687650,689244,2101548,2103142,1595
1,687850,689444,3365555,3367149,1595
1,687750,689344,3651935,3653529,1595
1,2101648,2103242,2288818,2290412,1595
1,2101748,2103342,3365555,3367149,1595
1,2101748,2103342,3652035,3653629,1595
1,2288718,2290312,3365355,3366949,1595
1,2288918,2290512,3652035,3653629,1595
1,3365155,3366749,3651635,3653229,1595
13,19795,20862,257907,258974,1068
13,19695,20762,1978402,1979469,1068
13,257807,258874,1978402,1979469,1068
20,1299395,1300896,3130042,3131543,1502
20,1299295,1300896,1395840,1397441,1602
20,1395740,1397341,3129842,3131443,1602
12,15186,16930,607806,609550,1745
12,15286,17030,2514172,2515916,1745
12,607806,609550,2514072,2515816,1745
18,314828,316482,566379,568033,1655
18,315128,316782,2170073,2171727,1655
18,566379,568033,2169773,2171427,1655
21,1467809,1469539,2068840,2070570,1731
21,1467609,1469339,2996060,2997790,1731
21,2068840,2070570,2996260,2997990,1731
31,391707,393366,1094243,1095902,1660
41,1650749,1651648,4498712,4499611,900
26,19664,20663,257776,258775,1000
19,381259,382982,3186095,3187818,1724
19,381059,382782,4497980,4499703,1724
19,3185995,3187718,4498080,4499803,1724
29,270440,271993,1469195,1470748,1554
0,273821,275394,574457,576030,1574
0,273621,275194,687517,689090,1574
0,273721,275294,2065925,2067498,1574
0,273721,275294,2101515,2103088,1574
0,273821,275394,2288785,2290358,1574
0,273621,275194,3365222,3366795,1574
0,273621,275194,3651702,3653275,1574
0,574557,576130,687817,689390,1574
0,574457,576030,2066025,2067598,1574
0,574357,575930,2101515,2103088,1574
0,574457,576030,2288785,2290358,1574
0,574557,576130,3365522,3367095,1574
0,574557,576130,3652002,3653575,1574
0,687817,689390,2066125,2067698,1574
0,687817,689390,2101715,2103288,1574
0,687717,689290,2288785,2290358,1574
0,687517,689090,3365222,3366795,1574
0,687717,689290,3651902,3653475,1574
0,2065825,2067398,2101415,2102988,1574
0,2065925,2067498,2288685,2290258,1574
0,2065825,2067398,3365222,3366795,1574
0,2065825,2067398,3651702,3653275,1574
0,2101715,2103288,2288885,2290458,1574
0,2101715,2103288,3365522,3367095,1574
0,2101515,2103088,3651802,3653375,1574
0,2288885,2290458,3365522,3367095,1574
0,2288885,2290458,3652002,3653575,1574
0,3365322,3366895,3651802,3653375,1574
32,525372,527219,1527826,1529673,1848
38,1299398,1300898,3130045,3131545,1501
3,574586,576187,687846,689447,1602
3,574586,576187,2101744,2103345,1602
3,574486,576087,3365451,3367052,1602
3,574586,576187,3652031,3653632,1602
3,687746,689347,2101644,2103245,1602
3,687846,689447,3365551,3367152,1602
3,687746,689347,3651931,3653532,1602
3,2101744,2103345,3365551,3367152,1602
3,2101644,2103245,3651931,3653532,1602
3,3365351,3366952,3651831,3653432,1602
7,574586,576188,687846,689448,1603
7,574586,576188,3365551,3367153,1603
7,574586,576188,3652031,3653633,1603
7,687846,689448,3365551,3367153,1603
7,687746,689348,3651931,3653533,1603
7,3365151,3366753,3651631,3653233,1603
8,574589,576188,687849,689448,1600
8,574489,576088,3365454,3367053,1600
8,574289,575888,3651734,3653333,1600
8,687849,689448,3365554,3367153,1600
8,687749,689348,3651934,3653533,1600
8,3365154,3366753,3651634,3653233,1600
33,566474,568077,2169868,2171471,1604
34,574585,576184,3652030,3653629,1600
35,574490,576089,3365455,3367054,1600
36,687750,689350,3651935,3653535,1601
37,1299293,1300893,1395838,1397438,1601
42,2101645,2103246,2288815,2290416,1602
9,4035132,4037385,4207748,4210001,2254
9,4165960,4168313,4207448,4209801,2354
9,3941009,3943462,4165860,4168313,2454
9,3940509,3947062,4034232,4040785,6554
9,3940209,3946862,4206548,4213201,6654
9,4034932,4041785,4166060,4172913,6854
39,1467908,1469607,2068939,2070638,1700
40,1467641,1469342,2996092,2997793,1702
25,15232,17031,2514118,2515917,1800
2,223396,225670,3941433,3943707,2275
2,223396,225670,4166284,4168558,2275
2,4035156,4037430,4207772,4210046,2275
2,4166084,4168358,4207572,4209846,2275
2,223096,225470,4207472,4209846,2375
2,3941033,3943507,4165884,4168358,2475
2,3941433,3948007,4035156,4041730,6575
2,222296,228970,4034056,4040730,6675
2,3940333,3947007,4206672,4213346,6675
2,4034756,4041630,4165884,4172758,6875
14,4166048,4168360,4207536,4209848,2313
14,223260,225672,4207636,4210048,2413
14,222660,228972,4165548,4171860,6313
4,223374,225694,4166262,4168582,2321
4,4035134,4037454,4207750,4210070,2321
4,4165962,4168282,4207450,4209770,2321
4,223274,229694,4207650,4214070,6421
4,222274,228994,4034034,4040754,6721
4,4034734,4041554,4165862,4172682,6821
22,4035187,4037491,4207803,4210107,2305
22,3941164,3943968,4034887,4037691,2805
22,3940164,3946868,4206503,4213207,6705
46,3618972,3623682,3761963,3766673,4711
5,225530,229650,4209814,4213934,4121
5,223230,229550,4166112,4172432,6321
5,4034591,4040911,4207114,4213434,6321
5,4166512,4172932,4207914,4214334,6421
5,222230,228950,4033991,4040711,6721
5,4034691,4041611,4165812,4172732,6921
16,225493,229628,4209777,4213912,4136
16,222693,229028,4165575,4171910,6336
16,4165775,4172310,4207177,4213712,6536
17,225252,229373,4209536,4213657,4122
17,4035313,4041634,4207836,4214157,6322
17,222252,228973,4034013,4040734,6722
47,3618584,3623297,3761575,3766288,4714
23,3942874,3947612,4167811,4172549,4739
23,4165711,4172249,4207113,4213651,6539
23,3940774,3947412,4207113,4213751,6639
10,3942860,3947472,4036675,4041287,4613
10,4034475,4040887,4206999,4213411,6413
10,3940360,3946972,4206699,4213311,6613
10,4165597,4172209,4206999,4213611,6613
10,3940260,3946972,4165197,4171909,6713
10,4034575,4041387,4165697,4172509,6813
11,4168151,4172461,4209553,4213863,4311
11,4035328,4041638,4207853,4214163,6311
11,3941414,3947824,4035228,4041638,6411
11,3940814,3947424,4207153,4213763,6611
11,3940614,3947324,4165551,4172261,6711
11,4034128,4041038,4165251,4172161,6911
44,2725962,2732346,3423561,3429945,6385
45,2725966,2732348,3423571,3429953,6383
53,4166463,4172973,4207865,4214375,6511
27,222541,228658,4206917,4213034,6118
51,4035336,4041606,4207859,4214129,6271
24,4035334,4041573,4207858,4214097,6240
24,4166456,4172895,4207858,4214297,6440
24,4034634,4041473,4165756,4172595,6840
52,4165718,4172254,4207120,4213656,6537
15,223487,229921,3941432,3947866,6435
15,3941432,3947866,4035246,4041680,6435
15,222287,229021,4034046,4040780,6735
43,2725962,2732434,3423561,3430033,6473
49,3941426,3947830,4035240,4041644,6405
48,3940470,3947094,4206809,4213433,6625
28,222323,229025,4034082,4040784,6703
50,4034170,4041032,4165298,4172160,6863
