Group 1
Start,End,Length
169427,173423,3996
5209604,5213588,3984


Group 2
Start,End,Length
232291,235346,3055
4339044,4342042,2998
4340641,4343091,2450
4461296,4463491,2195
4462813,4466711,3898
4606038,4608796,2758
4608135,4609733,1598
4644679,4646637,1958
234908,236957,2049
235908,237703,1795
4342875,4344773,1898
4466024,4467825,1801
4609439,4610237,798
4646177,4659197,13020
5077081,5079130,2049
5079348,5082243,2895
3785732,3786487,755
3786969,3789867,2898
5091101,5093999,2898
5093412,5095742,2330
5094769,5097538,2769
4975515,4976249,734
5095760,5108771,13011
2960439,2963411,2972
2962340,2966521,4181
5125333,5128924,3591
5306515,5307290,775
5341049,5345347,4298
2965770,2968406,2636
5342873,5347144,4271
5345741,5350012,4271
5360301,5362499,2198
3982468,3985096,2628
5374140,5376768,2628
5375870,5377757,1887
5427643,5429122,1479


Group 4
Start,End,Length
250384,262406,12022
259273,271297,12024
269093,277140,8047
5152361,5157076,4715
5215962,5217163,1201


Group 5
Start,End,Length
319530,324761,5231
1133452,1138683,5231


Group 6
Start,End,Length
427446,429267,1821
3040883,3044033,3150
3042535,3046304,3769
3044363,3049415,5052
3045621,3052073,6452
3048178,3054230,6052
5245078,5249066,3988
428642,430620,1978
5248065,5249886,1821
5248623,5250601,1978


Group 8
Start,End,Length
455770,458170,2400
5108719,5111119,2400


Group 9
Start,End,Length
499713,504748,5035
502815,507452,4637
505080,509717,4637
5260031,5264366,4335


Group 10
Start,End,Length
754683,755411,728
755213,755941,728


Group 11
Start,End,Length
767869,774720,6851
5184548,5191399,6851


Group 12
Start,End,Length
853211,855433,2222
5269587,5271809,2222


Group 13
Start,End,Length
913906,915205,1299
914414,915713,1299


Group 14
Start,End,Length
952484,954208,1724
5433522,5435246,1724


Group 15
Start,End,Length
1016722,1018147,1425
5436259,5437684,1425


Group 16
Start,End,Length
1201605,1204743,3138
1204194,1205864,1670
1205090,1208290,3200
1206853,1214531,7678
3401810,3410099,8289
5084574,5086020,1446
2302050,2308067,6017
5085437,5090291,4854
5217489,5223308,5819
1663179,1667086,3907
5222050,5225957,3907
5282286,5286194,3908


Group 17
Start,End,Length
1213880,1216879,2999
1216170,1219168,2998


Group 18
Start,End,Length
1277815,1280510,2695
1279375,1281440,2065
1280242,1281759,1517
5229952,5232863,2911


Group 19
Start,End,Length
1328772,1330407,1635
5180835,5182470,1635


Group 20
Start,End,Length
1339318,1344966,5648
1343671,1349319,5648
1347771,1349955,2184
1349351,1352119,2768


Group 21
Start,End,Length
1573757,1576566,2809
5318770,5321579,2809


Group 22
Start,End,Length
1650249,1652058,1809
5428704,5430513,1809


Group 24
Start,End,Length
1827894,1832292,4398
1830046,1836547,6501


Group 25
Start,End,Length
2124372,2129570,5198
2126077,2132952,6875


Group 26
Start,End,Length
2253744,2255461,1717
2259397,2261114,1717


Group 28
Start,End,Length
2325025,2326834,1809
5293819,5295628,1809


Group 29
Start,End,Length
2418694,2420797,2103
5214496,5216599,2103


Group 30
Start,End,Length
2479211,2484597,5386
5132876,5138236,5360


Group 31
Start,End,Length
2770048,2774906,4858
5321099,5326127,5028


Group 35
Start,End,Length
3080606,3081937,1331
3081590,3082921,1331


Group 36
Start,End,Length
3134221,3136297,2076
4335634,4337532,1898
5384434,5386532,2098
5410673,5412571,1898
5412010,5414030,2020


Group 37
Start,End,Length
3316699,3318540,1841
5438573,5440414,1841


Group 38
Start,End,Length
3344214,3345098,884
4209815,4210699,884


Group 39
Start,End,Length
3349183,3350281,1098
5090142,5091240,1098
5326860,5327858,998
5327060,5328058,998


Group 40
Start,End,Length
3388013,3390471,2458
5137106,5139564,2458


Group 41
Start,End,Length
3408831,3412446,3615
3411732,3415347,3615


Group 42
Start,End,Length
3625758,3630731,4973
3627719,3632618,4899


Group 43
Start,End,Length
3666915,3680922,14007
3670653,3685423,14770


Group 45
Start,End,Length
3915127,3918745,3618
5225635,5229242,3607


Group 46
Start,End,Length
3927956,3933051,5095
3930003,3935098,5095


Group 48
Start,End,Length
4207553,4209043,1490
4208710,4210200,1490


Group 49
Start,End,Length
4211763,4213961,2198
5280406,5282604,2198


Group 50
Start,End,Length
4214686,4218320,3634
4234723,4238357,3634


Group 51
Start,End,Length
4453204,4455906,2702
4455907,4458525,2618
4458050,4458933,883


Group 52
Start,End,Length
