Group 0
Start,End,Length
953653,955351,1698
959761,961459,1698


Group 1
Start,End,Length
2509123,2511012,1889
2623651,2625540,1889


Group 2
Start,End,Length
192638,194773,2135
3032038,3034173,2135


Group 3
Start,End,Length
1671200,1673389,2189
2695290,2697479,2189


Group 4
Start,End,Length
1958222,1963724,5502
1989646,1995148,5502


Group 5
Start,End,Length
74786,83294,8508
854254,862773,8519
1477498,1485534,8036


Group 6
Start,End,Length
2701934,2710952,9018
2711060,2719819,8759
3144188,3153090,8902


