seq_idx,current_start1,current_end1,current_start2,current_end2,length
31,3907123,3907962,3909932,3910771,840
9,85310,86994,1107325,1109009,1685
9,85410,87094,1418551,1420235,1685
9,85410,87094,1647159,1648843,1685
9,85510,87194,3204936,3206620,1685
9,1107425,1109109,1418551,1420235,1685
9,1107325,1109009,1647059,1648743,1685
9,1107325,1109009,3204736,3206420,1685
9,1418551,1420235,1647159,1648843,1685
9,1418451,1420135,3204736,3206420,1685
9,1646859,1648543,3204536,3206220,1685
18,1853893,1855577,2426026,2427710,1685
18,1853893,1855577,2605463,2607147,1685
18,2426126,2427810,2605563,2607247,1685
17,519642,521740,586277,588375,2099
17,519542,521640,610875,612973,2099
17,582077,588775,606775,613473,6699
15,85409,87108,1418550,1420249,1700
15,85409,87108,1647158,1648857,1700
15,1418450,1420149,1647058,1648757,1700
20,85408,87107,1418549,1420248,1700
21,85496,87195,3204922,3206621,1700
29,1107423,1109123,3204834,3206534,1701
30,1853879,1855578,2426012,2427711,1700
8,519672,521768,586307,588403,2097
8,525664,527760,586407,588503,2097
8,525664,527760,611105,613201,2097
8,2820,5116,586107,588403,2297
8,2820,5116,610805,613101,2297
8,515672,521768,607005,613101,6097
8,515572,521868,521464,527760,6297
8,0,6316,516572,522968,6317
8,0,6316,522464,528860,6317
8,582007,588703,606705,613401,6697
2,456871,458984,586462,588575,2114
2,456871,458984,611160,613273,2114
2,519627,521740,586262,588375,2114
2,519627,521740,610960,613073,2114
2,525819,527932,586562,588675,2114
2,2875,5088,586162,588375,2214
2,2875,5088,610860,613073,2214
2,525819,528032,611260,613473,2214
2,586262,588575,3921246,3923559,2314
2,611260,613573,3921546,3923859,2314
2,515727,521740,3917346,3923359,6014
2,522719,528832,3918446,3924559,6114
2,453471,459684,3918046,3924259,6214
2,0,6288,453671,459984,6289
2,0,6288,516627,522940,6289
2,0,6288,522519,528832,6289
2,0,6288,3918246,3924559,6289
2,452471,458784,515427,521740,6314
2,515427,521740,521319,527632,6314
2,453471,459884,522319,528732,6414
2,582262,588975,606960,613673,6714
13,525562,527714,586305,588457,2153
13,525662,527814,611103,613255,2153
13,118,5870,583405,589157,5753
13,0,6070,607903,614055,6071
13,0,6270,522462,528814,6271
13,582205,588957,606903,613655,6753
14,525616,527726,586359,588469,2111
14,2872,5082,586159,588369,2211
14,0,6282,522516,528826,6283
3,2890,5118,586177,588405,2229
3,2890,5118,610875,613103,2229
3,586277,588605,3921261,3923589,2329
3,522634,528262,583377,589005,5629
3,608175,613903,3918461,3924189,5729
3,516542,522470,607875,613803,5929
3,452586,458614,606875,612903,6029
3,516642,522670,3918261,3924289,6029
3,522434,528462,607875,613903,6029
3,452486,458614,582077,588205,6129
3,515642,521770,582277,588405,6129
3,522734,528862,3918461,3924589,6129
3,0,6218,3918261,3924489,6219
3,453486,459714,3918061,3924289,6229
3,0,6318,453686,460014,6319
3,0,6318,516642,522970,6319
3,0,6318,522534,528862,6319
3,452486,458814,515442,521770,6329
3,516642,522970,522534,528862,6329
3,453386,459814,522234,528662,6429
3,581977,588705,606675,613403,6729
22,217558,219796,228326,230564,2239
0,521890,525982,582471,586563,4093
0,522090,526182,607369,611461,4093
0,452942,457134,607069,611261,4193
0,452842,458634,582271,588063,5793
0,515798,521590,582271,588063,5793
0,515798,521590,606969,612761,5793
0,607169,613061,3917617,3923509,5893
