seq_idx,current_start1,current_end1,current_start2,current_end2,length
0,9587,11671,96168,98252,2085
0,9787,11871,160868,162952,2085
0,9587,11671,166276,168360,2085
0,29955,32039,635110,637194,2085
0,30055,32139,946473,948557,2085
0,9487,11671,90212,92396,2185
0,9287,11471,634910,637094,2185
0,29855,32039,95968,98152,2185
0,29855,32039,166076,168260,2185
0,9187,11471,946073,948357,2285
0,29655,31939,89912,92196,2285
0,29855,32139,160468,162752,2285
0,90412,96496,635310,641394,6085
0,95868,101952,634910,640994,6085
0,95468,101552,945773,951857,6085
0,166076,172160,635010,641094,6085
0,165276,171360,945473,951557,6085
0,89612,95796,945773,951957,6185
0,95368,101552,159868,166052,6185
0,160368,166552,634910,641094,6185
0,8587,14871,29055,35339,6285
0,89112,95396,94968,101252,6285
0,89912,96196,165876,172160,6285
0,160468,166752,166076,172360,6285
0,160068,166352,945873,952157,6285
0,634310,640594,945573,951857,6285
0,89812,96196,160168,166552,6385
0,89168,102052,159276,172160,12885
33,9795,11873,90520,92598,2079
5,9775,11840,96356,98421,2066
5,9775,11840,166464,168529,2066
5,9775,11840,171463,173528,2066
5,9575,11740,90300,92465,2166
5,29943,32108,166164,168329,2166
5,29843,32008,171063,173228,2166
5,30043,32208,946461,948626,2166
5,9175,11440,946061,948326,2266
5,29843,32108,90100,92365,2266
5,29943,32208,96056,98321,2266
5,95556,101621,945861,951926,6066
5,165264,171329,945461,951526,6066
5,170663,176728,945861,951926,6066
5,89700,95865,170663,176828,6166
5,89100,95365,94956,101221,6266
5,89100,95365,165064,171329,6266
5,90000,96265,946161,952426,6266
5,95456,101821,170563,176928,6366
5,165464,171829,170463,176828,6366
5,9475,15940,29943,36408,6466
5,95856,102421,165964,172529,6566
6,9466,11585,90191,92310,2120
6,9466,11585,96047,98166,2120
6,9366,11485,166055,168174,2120
6,29834,31953,634989,637108,2120
6,9266,11485,634889,637108,2220
6,29734,31953,89991,92210,2220
6,29834,32053,95947,98166,2220
6,29834,32053,166055,168274,2220
6,29734,31953,946152,948371,2220
6,9166,11485,946052,948371,2320
6,90191,96310,635089,641208,6120
6,95947,102066,634989,641108,6120
6,95447,101566,945752,951871,6120
6,166155,172274,635089,641208,6120
6,165355,171474,945552,951671,6120
6,89191,95410,95047,101266,6220
6,89191,95410,165155,171374,6220
6,635189,641408,946452,952671,6220
6,89891,96210,946052,952371,6320
6,9466,15885,29934,36353,6420
6,88847,101666,158955,171774,12820
12,9542,11664,90267,92389,2123
12,9642,11764,96223,98345,2123
12,9642,11764,166331,168453,2123
12,29710,31932,89967,92189,2223
12,29710,31932,95823,98045,2223
12,29710,31932,165931,168153,2223
12,29710,31932,946128,948350,2223
12,9142,11464,946028,948350,2323
12,96223,102245,946528,952550,6023
12,166331,172353,946528,952550,6023
12,89167,95389,165131,171353,6223
12,89067,95389,94923,101245,6323
12,89967,96289,946128,952450,6323
