seq_idx,current_start1,current_end1,current_start2,current_end2,length
32,2476549,2478319,2479451,2481221,1771
8,685821,687440,5073108,5074727,1620
8,1173584,1178503,5072708,5077627,4920
8,683321,689040,1171484,1177203,5720
2,1541518,1543181,2230174,2231837,1664
2,1496332,1501395,2227374,2232437,5064
2,1402799,1409162,1538618,1544981,6364
2,1496832,1503195,1539218,1545581,6364
2,1402699,1409162,2227174,2233637,6464
2,1402299,1409162,1495732,1502595,6864
3,1541354,1543008,2230009,2231663,1655
3,1403035,1407189,2227509,2231663,4155
3,1496468,1500622,2227509,2231663,4155
3,1497568,1503322,1539954,1545708,5755
3,1402935,1409289,1538754,1545108,6355
3,1402335,1409189,1495768,1502622,6855
27,1290349,1292122,1292391,1294164,1774
10,687320,689598,1175629,1177907,2279
10,687120,689398,5074552,5076830,2279
10,1171629,1178507,5070752,5077630,6879
11,1403338,1405672,1539011,1541345,2335
11,1497071,1499405,1539311,1541645,2335
11,1402338,1409172,1495771,1502605,6835
31,1539052,1541483,2227854,2230285,2432
24,687300,689676,1175609,1177985,2377
0,1403712,1406036,1539385,1541709,2325
0,1497045,1499369,1539285,1541609,2325
0,1539085,1541509,2227887,2230311,2425
0,1496345,1501369,2227387,2232411,5025
0,1403212,1410036,2227687,2234511,6825
0,1402212,1409136,1495645,1502569,6925
1,1403574,1405890,1539247,1541563,2317
1,1497007,1499323,1539247,1541563,2317
1,1539147,1541563,2227949,2230365,2417
1,1402774,1408890,2227249,2233365,6117
1,1496107,1502323,2227149,2233365,6217
1,1402174,1409090,1495607,1502523,6917
25,1171823,1174353,5070858,5073388,2531
4,1542270,1545290,2231014,2234034,3021
4,1406551,1409771,2231114,2234334,3221
4,1404051,1409871,1539870,1545690,5821
4,1497484,1503404,1539870,1545790,5921
4,1496084,1502604,2227214,2233734,6521
4,1402251,1409171,1495684,1502604,6921
35,3534807,3537421,3539331,3541945,2615
9,684948,687711,5072234,5074997,2764
9,1173311,1178574,5072434,5077697,5264
9,683848,690211,1172011,1178374,6364
7,1171802,1174817,5070837,5073852,3016
7,683940,687955,5071137,5075152,4016
7,683240,689055,1171402,1177217,5816
6,1171755,1174835,5070790,5073870,3081
6,683893,687873,5071090,5075070,3981
6,683993,690373,1172155,1178535,6381
33,2508049,2511409,2517944,2521304,3361
18,683875,687836,5071072,5075033,3962
34,3534773,3538726,3538253,3542206,3954
12,1496325,1501535,2227367,2232577,5211
12,1402692,1408902,2227167,2233377,6211
12,1402192,1409102,1495625,1502535,6911
17,1497852,1503286,1540238,1545672,5435
17,1402719,1409153,1538538,1544972,6435
17,1402319,1409153,1495752,1502586,6835
13,1497848,1503230,1540234,1545616,5383
13,1403015,1409397,1538834,1545216,6383
13,1402315,1409197,1495748,1502630,6883
14,1497497,1503366,1539883,1545752,5870
14,1402764,1409133,1538583,1544952,6370
14,1402264,1409133,1495697,1502566,6870
15,1497524,1503382,1539910,1545768,5859
15,1402791,1409149,1538610,1544968,6359
15,1402291,1409149,1495724,1502582,6859
16,1497506,1503369,1539892,1545755,5864
16,1403773,1409936,1539592,1545755,6164
16,1402273,1409136,1495706,1502569,6864
5,1497471,1503350,1539857,1545736,5880
5,1539557,1545736,2228301,2234480,6180
5,1402738,1409117,1538557,1544936,6380
5,1495971,1502550,2227101,2233680,6580
5,1403738,1410417,2228301,2234980,6680
5,1402238,1409117,1495671,1502550,6880
22,684042,690346,1172205,1178509,6305
23,684013,690095,5071299,5077381,6083
20,683957,690086,5071154,5077283,6130
28,1402231,1409110,1495664,1502543,6880
19,683981,690338,1172143,1178500,6358
21,683716,690019,1171879,1178182,6304
29,1402204,1409113,1495637,1502546,6910
26,1171909,1178729,5071032,5077852,6821
30,1402255,1409156,1495688,1502589,6902
