Group 1
Start,End,Length
0,6355,6355
452384,460051,7667
515340,522970,7630
521249,528888,7639
581830,589380,7550
606528,614078,7550
3917217,3924609,7392


Group 2
Start,End,Length
85310,87195,1885
1107325,1109123,1798
1418450,1420249,1799
1646859,1648857,1998
3204536,3206621,2085


Group 3
Start,End,Length
217558,219796,2238
228326,230564,2238


Group 4
Start,End,Length
1853879,1855578,1699
2426012,2427810,1798
2605463,2607247,1784


Group 5
Start,End,Length
3907123,3907962,839
3909932,3910771,839


