Start,End,Length,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8
,,,,,,,,,,
Group 0,,,,,,,,,,
2476549,2478319,1770,FEM41_11380[pseudo](+) | Product: M23 family metallopeptidase | Note: incomplete; partial on complete genome; missing C-terminus,,,,,,,
2479451,2481221,1770,,,,,,,,
,,,,,,,,,,
Group 1,,,,,,,,,,
1290349,1292122,1773,,,,,,,,
1292391,1294164,1773,,,,,,,,
,,,,,,,,,,
Group 2,,,,,,,,,,
2508049,2511409,3360,,,,,,,,
2517944,2521304,3360,,,,,,,,
,,,,,,,,,,
Group 3,,,,,,,,,,
3534773,3538726,3953,,,,,,,,
3538253,3542206,3953,,,,,,,,
,,,,,,,,,,
Group 4,,,,,,,,,,
683240,690373,7133,FEM41_03140(-) | Product: tRNA-Thr,FEM41_03150(-) | Product: 23S ribosomal RNA,FEM41_03155(-) | Product: tRNA-Glu,FEM41_03160(-) | Product: 16S ribosomal RNA,QCT18712.1(+) | Product: gamma carbonic anhydrase family protein | Protein ID: QCT18712.1,QCT18713.1(-) | Product: DUF1488 domain-containing protein | Protein ID: QCT18713.1,rrf(-) | Product: 5S ribosomal RNA,rrf(-) | Product: 5S ribosomal RNA
1171402,1178729,7327,FEM41_05430(-) | Product: 23S ribosomal RNA,FEM41_05435(-) | Product: tRNA-Ala,FEM41_05440(-) | Product: tRNA-Ile,FEM41_05445(-) | Product: 16S ribosomal RNA,QCT19136.1(+) | Product: FadR family transcriptional regulator | Protein ID: QCT19136.1,rrf(-) | Product: 5S ribosomal RNA,,
5070752,5077852,7100,FEM41_23835(-) | Product: 23S ribosomal RNA,FEM41_23840(-) | Product: tRNA-Ala,FEM41_23845(-) | Product: tRNA-Ile,FEM41_23850(-) | Product: 16S ribosomal RNA,rrf(-) | Product: 5S ribosomal RNA,,,
,,,,,,,,,,
Group 5,,,,,,,,,,
1402174,1410417,8243,FEM41_06455(+) | Product: 16S ribosomal RNA,FEM41_06460(+) | Product: tRNA-Glu,FEM41_06465(+) | Product: 23S ribosomal RNA,FEM41_06475(+) | Product: tRNA-Asp,FEM41_06480(+) | Product: tRNA-Trp,hdfR(-) | Product: HTH-type transcriptional regulator HdfR | Protein ID: QCT19325.1,murI(+) | Product: glutamate racemase | Protein ID: QCT19324.1,rrf(+) | Product: 5S ribosomal RNA
1495607,1503404,7797,FEM41_06890(+) | Product: 16S ribosomal RNA,FEM41_06895(+) | Product: tRNA-Glu,FEM41_06900(+) | Product: 23S ribosomal RNA,hemG(+) | Product: menaquinone-dependent protoporphyrinogen IX dehydrogenase | Protein ID: QCT19400.1,rrf(+) | Product: 5S ribosomal RNA,,,
1538557,1545790,7233,FEM41_07100(+) | Product: 16S ribosomal RNA,FEM41_07105(+) | Product: tRNA-Ile,FEM41_07110(+) | Product: tRNA-Ala,FEM41_07115(+) | Product: 23S ribosomal RNA,QCT19432.1(+) | Product: hypothetical protein | Protein ID: QCT19432.1,QCT19433.1(-) | Product: GNAT family N-acetyltransferase | Protein ID: QCT19433.1,rrf(+) | Product: 5S ribosomal RNA,
2227101,2234980,7879,FEM41_10245(+) | Product: 16S ribosomal RNA,FEM41_10250(+) | Product: tRNA-Glu,FEM41_10255(+) | Product: 23S ribosomal RNA,FEM41_10265(+) | Product: tRNA-Asp,QCT20008.1(-) | Product: LysR family transcriptional regulator | Protein ID: QCT20008.1,gmhB(+) | Product: D-glycero-beta-D-manno-heptose 1%2C7-bisphosphate 7-phosphatase | Protein ID: QCT20007.1,rrf(+) | Product: 5S ribosomal RNA,
